tmdbId,title_asli,title_en,year,genres,keywords,cast,country,original_language,poster_url,overview,rating,rating_count,tags,mood
403300,A Hidden Life,A Hidden Life,2019,History | Drama | War,"husband wife relationship, nazi, world war ii, austria, biography, based on true story, conscientious objector, free will, catholic, saint, farmer, strong man, integrity, prison brutality, ostracism, saints, sainthood, christian faith, anti-nazi, alps","['August Diehl', 'Valerie Pachner', 'Maria Simon', 'Karin Neuhäuser', 'Tobias Moretti']",Germany,en,https://image.tmdb.org/t/p/w500/rdG4jfH0rxkB2FgkYmjj9V4Q31M.jpg,Austrian farmer Franz Jägerstätter faces the threat of execution for refusing to fight for the Nazis during World War II.,7.2,777,"austrian farmer franz jägerstätter faces the threat of execution for refusing to fight for the nazis during world war ii. history | drama | war husband wife relationship, nazi, world war ii, austria, biography, based on true story, conscientious objector, free will, catholic, saint, farmer, strong man, integrity, prison brutality, ostracism, saints, sainthood, christian faith, anti-nazi, alps ['august diehl', 'valerie pachner', 'maria simon', 'karin neuhäuser', 'tobias moretti'] austrian farmer franz jägerstätter faces the threat of execution for refusing to fight for the nazis during world war ii. history | drama | war husband wife relationship, nazi, world war ii, austria, biography, based on true story, conscientious objector, free will, catholic, saint, farmer, strong man, integrity, prison brutality, ostracism, saints, sainthood, christian faith, anti-nazi, alps ['august diehl', 'valerie pachner', 'maria simon', 'karin neuhäuser', 'tobias moretti']",marah
586863,Les Misérables,Les Misérables,2019,Crime | Drama | Thriller,"police brutality, paris, france, based on novel or book, police, ghetto, riot, drone, football (soccer), suburb, juvenile delinquent, police officer, 2000s","['Damien Bonnard', 'Alexis Manenti', 'Djebril Zonga', 'Steve Tientcheu', 'Jeanne Balibar']",France,fr,https://image.tmdb.org/t/p/w500/2ZQV9rPFXF0iFfKbsAvVIweQ1yM.jpg,"Stéphane has recently joined the Anti-Crime Squad in Montfermeil, in the suburbs of Paris, France, where Victor Hugo set his famed novel “Les Miserables”. Alongside his new colleagues Chris and Gwada – both experienced members of the team – he quickly discovers tensions running high between local gangs. When the trio finds themselves overrun during the course of an arrest, a drone captures the encounter, threatening to expose the reality of everyday life.",7.568,1599,"stéphane has recently joined the anti-crime squad in montfermeil, in the suburbs of paris, france, where victor hugo set his famed novel “les miserables”. alongside his new colleagues chris and gwada – both experienced members of the team – he quickly discovers tensions running high between local gangs. when the trio finds themselves overrun during the course of an arrest, a drone captures the encounter, threatening to expose the reality of everyday life. crime | drama | thriller police brutality, paris, france, based on novel or book, police, ghetto, riot, drone, football (soccer), suburb, juvenile delinquent, police officer, 2000s ['damien bonnard', 'alexis manenti', 'djebril zonga', 'steve tientcheu', 'jeanne balibar'] stéphane has recently joined the anti-crime squad in montfermeil, in the suburbs of paris, france, where victor hugo set his famed novel “les miserables”. alongside his new colleagues chris and gwada – both experienced members of the team – he quickly discovers tensions running high between local gangs. when the trio finds themselves overrun during the course of an arrest, a drone captures the encounter, threatening to expose the reality of everyday life. crime | drama | thriller police brutality, paris, france, based on novel or book, police, ghetto, riot, drone, football (soccer), suburb, juvenile delinquent, police officer, 2000s ['damien bonnard', 'alexis manenti', 'djebril zonga', 'steve tientcheu', 'jeanne balibar']",gelisah
550059,三十儿立,Thirty Years of Adonis,2017,Drama,"director, lgbt","['Adonis He', 'Susan Shaw Yam-Yam', 'Nora Miao', 'Eric East', 'Amanda Lee Wai-Man']",China,zh,https://image.tmdb.org/t/p/w500/tB2yvuKrAZ3kMs09VkuAwvmsgDi.jpg,"Yang Ke, a Beijing Opera actor, is fatefully driven into the underworld of masculine sex workers, and becomes a class of his own. He finds himself on a roller coaster between heavenly love with both men and women, and a living hell ensnared by devious villains and hypocrites. Despite his faith, endeavor and willingness to give, he remains a prisoner to his karma. Hell awaits when heaven seems near, and the ultimate truth is revealed only in a heartbreaking moment from which there is no return.",4.7,15,"yang ke, a beijing opera actor, is fatefully driven into the underworld of masculine sex workers, and becomes a class of his own. he finds himself on a roller coaster between heavenly love with both men and women, and a living hell ensnared by devious villains and hypocrites. despite his faith, endeavor and willingness to give, he remains a prisoner to his karma. hell awaits when heaven seems near, and the ultimate truth is revealed only in a heartbreaking moment from which there is no return. drama director, lgbt ['adonis he', 'susan shaw yam-yam', 'nora miao', 'eric east', 'amanda lee wai-man'] yang ke, a beijing opera actor, is fatefully driven into the underworld of masculine sex workers, and becomes a class of his own. he finds himself on a roller coaster between heavenly love with both men and women, and a living hell ensnared by devious villains and hypocrites. despite his faith, endeavor and willingness to give, he remains a prisoner to his karma. hell awaits when heaven seems near, and the ultimate truth is revealed only in a heartbreaking moment from which there is no return. drama director, lgbt ['adonis he', 'susan shaw yam-yam', 'nora miao', 'eric east', 'amanda lee wai-man']",rindu
268230,Cities of Light: The Rise and Fall of Islamic Spain,Cities of Light: The Rise and Fall of Islamic Spain,2007,Documentary,,"['Roman Grigaravicius', 'Arturas Nemanis', 'Sam Mercurio']",United States of America,en,https://image.tmdb.org/t/p/w500/sqGHqKjkSSHpiuSuKB20FY56NxY.jpg,"Over a thousand years ago, the sun-washed lands of Southern Spain were home to Muslims, Christians, and Jews living together and flourishing. Their culture and beliefs intertwined and the ...",6.0,2,"over a thousand years ago, the sun-washed lands of southern spain were home to muslims, christians, and jews living together and flourishing. their culture and beliefs intertwined and the ... documentary  ['roman grigaravicius', 'arturas nemanis', 'sam mercurio'] over a thousand years ago, the sun-washed lands of southern spain were home to muslims, christians, and jews living together and flourishing. their culture and beliefs intertwined and the ... documentary  ['roman grigaravicius', 'arturas nemanis', 'sam mercurio']",hidayah
44003,Le Grand Voyage,The Great Journey,2004,Drama | Romance,"parent child relationship, pilgrimage","['Nicolas Cazalé', 'Mohamed Majd', 'Jacky Nercessian', 'Ghina Ognianova', 'Kamel Belghazi']",France,fr,https://image.tmdb.org/t/p/w500/ypKFwK1Sn8eeXoEu5vXTThue1eb.jpg,"Reda, summoned to accompany his father on a pilgrimage to Mecca, complies reluctantly - as he preparing for his baccalaureat and, even more important, has a secret love relationship. The trip across Europe in a broken-down car is also the departure of his father: upon arrival in Mecca, both Reda and his father are not the characters they were at the start of the movie. Avoiding the hackneyed theme of the return to the homeland, the film uses the departure to renew a connection between two generation.",6.721,34,"reda, summoned to accompany his father on a pilgrimage to mecca, complies reluctantly - as he preparing for his baccalaureat and, even more important, has a secret love relationship. the trip across europe in a broken-down car is also the departure of his father: upon arrival in mecca, both reda and his father are not the characters they were at the start of the movie. avoiding the hackneyed theme of the return to the homeland, the film uses the departure to renew a connection between two generation. drama | romance parent child relationship, pilgrimage ['nicolas cazalé', 'mohamed majd', 'jacky nercessian', 'ghina ognianova', 'kamel belghazi'] reda, summoned to accompany his father on a pilgrimage to mecca, complies reluctantly - as he preparing for his baccalaureat and, even more important, has a secret love relationship. the trip across europe in a broken-down car is also the departure of his father: upon arrival in mecca, both reda and his father are not the characters they were at the start of the movie. avoiding the hackneyed theme of the return to the homeland, the film uses the departure to renew a connection between two generation. drama | romance parent child relationship, pilgrimage ['nicolas cazalé', 'mohamed majd', 'jacky nercessian', 'ghina ognianova', 'kamel belghazi']",rindu
502033,Sound of Metal,Sound of Metal,2020,Drama | Music,"deaf, missouri, drums, heavy metal, addiction, sign languages, hearing impaired","['Riz Ahmed', 'Olivia Cooke', 'Paul Raci', 'Lauren Ridloff', 'Mathieu Amalric']",United States of America,en,https://image.tmdb.org/t/p/w500/3178oOJKKPDeQ2legWQvMPpllv.jpg,"Metal drummer Ruben begins to lose his hearing. When a doctor tells him his condition will worsen, he thinks his career and life is over. His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. After being welcomed and accepted just as he is, Ruben must choose between his new normal and the life he once knew.",7.699,2823,"metal drummer ruben begins to lose his hearing. when a doctor tells him his condition will worsen, he thinks his career and life is over. his girlfriend lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. after being welcomed and accepted just as he is, ruben must choose between his new normal and the life he once knew. drama | music deaf, missouri, drums, heavy metal, addiction, sign languages, hearing impaired ['riz ahmed', 'olivia cooke', 'paul raci', 'lauren ridloff', 'mathieu amalric'] metal drummer ruben begins to lose his hearing. when a doctor tells him his condition will worsen, he thinks his career and life is over. his girlfriend lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. after being welcomed and accepted just as he is, ruben must choose between his new normal and the life he once knew. drama | music deaf, missouri, drums, heavy metal, addiction, sign languages, hearing impaired ['riz ahmed', 'olivia cooke', 'paul raci', 'lauren ridloff', 'mathieu amalric']",rindu
516486,Greyhound,Greyhound,2020,War | Action | Drama,"submarine, allies, atlantic ocean, world war ii, based on true story, biting, convoy, battleship, naval warfare, naval battleship, tense","['Tom Hanks', 'Stephen Graham', 'Rob Morgan', 'Josh Wiggins', 'Tom Brittney']",Canada,en,https://image.tmdb.org/t/p/w500/kjMbDciooTbJPofVXgAoFjfX8Of.jpg,"A first-time captain leads a convoy of allied ships carrying thousands of soldiers across the treacherous waters of the ""Black Pit"" to the front lines of WWII. With no air cover protection for 5 days, the captain and his convoy must battle the surrounding enemy Nazi U-boats in order to give the allies a chance to win the war.",7.408,3276,"a first-time captain leads a convoy of allied ships carrying thousands of soldiers across the treacherous waters of the ""black pit"" to the front lines of wwii. with no air cover protection for 5 days, the captain and his convoy must battle the surrounding enemy nazi u-boats in order to give the allies a chance to win the war. war | action | drama submarine, allies, atlantic ocean, world war ii, based on true story, biting, convoy, battleship, naval warfare, naval battleship, tense ['tom hanks', 'stephen graham', 'rob morgan', 'josh wiggins', 'tom brittney'] a first-time captain leads a convoy of allied ships carrying thousands of soldiers across the treacherous waters of the ""black pit"" to the front lines of wwii. with no air cover protection for 5 days, the captain and his convoy must battle the surrounding enemy nazi u-boats in order to give the allies a chance to win the war. war | action | drama submarine, allies, atlantic ocean, world war ii, based on true story, biting, convoy, battleship, naval warfare, naval battleship, tense ['tom hanks', 'stephen graham', 'rob morgan', 'josh wiggins', 'tom brittney']",marah
582897,Un divan à Tunis,Arab Blues,2020,Comedy | Drama,,"['Golshifteh Farahani', 'Hichem Yacoubi', 'Majd Mastoura', 'Aïsha Ben Miled', 'Ramla Ayari']",France,fr,https://image.tmdb.org/t/p/w500/c8UoHYXLRClZcesFIdBGx22lH0X.jpg,"Selma, a psychoanalyst, deals with a cast of colorful new patients after returning home to Tunisia to open a practice.",6.106,245,"selma, a psychoanalyst, deals with a cast of colorful new patients after returning home to tunisia to open a practice. comedy | drama  ['golshifteh farahani', 'hichem yacoubi', 'majd mastoura', 'aïsha ben miled', 'ramla ayari'] selma, a psychoanalyst, deals with a cast of colorful new patients after returning home to tunisia to open a practice. comedy | drama  ['golshifteh farahani', 'hichem yacoubi', 'majd mastoura', 'aïsha ben miled', 'ramla ayari']",bahagia
99999,Der Sieg des Glaubens,The Victory of Faith,1933,Documentary,"nazi, nuremberg, germany, woman director, nsdap (nazi party), nazi propaganda, political rally, rediscovered film","['Adolf Hitler', 'Rudolf Hess', 'Ernst Röhm', 'Joseph Goebbels', 'Hermann Göring']",Germany,de,https://image.tmdb.org/t/p/w500/qOuJJfgHwjaqHOnDxzTdjvZs9JJ.jpg,"Follows the Fifth Nazi Party Rally (Nuremberg, 30 August–3 September 1933) and shows the then close relationship between Adolf Hitler and Ernest Rõhm.",5.417,18,"follows the fifth nazi party rally (nuremberg, 30 august–3 september 1933) and shows the then close relationship between adolf hitler and ernest rõhm. documentary nazi, nuremberg, germany, woman director, nsdap (nazi party), nazi propaganda, political rally, rediscovered film ['adolf hitler', 'rudolf hess', 'ernst röhm', 'joseph goebbels', 'hermann göring'] follows the fifth nazi party rally (nuremberg, 30 august–3 september 1933) and shows the then close relationship between adolf hitler and ernest rõhm. documentary nazi, nuremberg, germany, woman director, nsdap (nazi party), nazi propaganda, political rally, rediscovered film ['adolf hitler', 'rudolf hess', 'ernst röhm', 'joseph goebbels', 'hermann göring']",tenang
649401,Infidel,Infidel,2019,Action | Thriller,"terrorism, political thriller, iranian regime","['Jim Caviezel', 'Claudia Karvan', 'Hal Ozsan', 'Aly Kassem', 'Stelio Savante']",United States of America,en,https://image.tmdb.org/t/p/w500/vglivF7KG7YcojCsqWkkRwad0VE.jpg,"An American is kidnapped while attending a conference in Cairo and ends up in prison in Iran on spying charges. His wife goes to Iran, determined to get him out.",5.5,87,"an american is kidnapped while attending a conference in cairo and ends up in prison in iran on spying charges. his wife goes to iran, determined to get him out. action | thriller terrorism, political thriller, iranian regime ['jim caviezel', 'claudia karvan', 'hal ozsan', 'aly kassem', 'stelio savante'] an american is kidnapped while attending a conference in cairo and ends up in prison in iran on spying charges. his wife goes to iran, determined to get him out. action | thriller terrorism, political thriller, iranian regime ['jim caviezel', 'claudia karvan', 'hal ozsan', 'aly kassem', 'stelio savante']",gelisah
